"weekday","hightemp","lowtemp","precip_rain","precip_snow","count"
"Saturday",90,75,0,0,5544
"Sunday",82,75,0,0,5426
"Monday",78.1,62.1,0,0,8230
"Tuesday",82,64.9,0,0,8972
"Wednesday",90,69.1,0.56,0,7982
"Thursday",73,62.1,0,0,8708
"Friday",73,62.1,0,0,7729
"Saturday",75.9,60.1,0,0,6727
"Sunday",81,71.1,0,0,5175
"Monday",72,69.1,0.68,0,3123
"Tuesday",82,69.1,0,0,8039
"Wednesday",84,69.1,0,0,8452
"Thursday",86,64.9,0,0,8470
"Friday",86,64,0.01,0,8104
"Saturday",71.1,57.9,0.2,0,5674
"Sunday",69.1,54,0,0,5900
"Monday",71.1,55,0,0,8006
"Tuesday",73.9,64,0.22,0,7063
"Wednesday",68,60.1,0,0,7363
"Thursday",64,60.1,0,0,5649
"Friday",59,57,0.4,0,2422
"Saturday",62.1,57,0,0,3590
"Sunday",63,57,0,0,3915
"Monday",71.1,61,0,0,6918
"Tuesday",68,60.1,0,0,7543
"Wednesday",66,54,0,0,8020
"Thursday",73,55.9,0,0,8897
"Friday",73.9,57,0,0,7624
"Saturday",68,59,0.23,0,3875
"Sunday",57.9,51.1,0.55,0,2045
"Monday",63,46.9,0,0,6054
"Tuesday",63,46.9,0,0,7227
"Wednesday",64,53.1,0,0,7189
"Thursday",66.9,55,0,0,7144
"Friday",61,48,0,0,6604
"Saturday",64.9,46,0,0,5350
"Sunday",69.1,54,0,0,5001
"Monday",80.1,63,0,0,7731
"Tuesday",81,66.9,0,0,8761
"Wednesday",84,69.1,0,0,8582
"Thursday",70,62.1,0,0,7089
"Friday",69.1,66,1.11,0,3558
"Saturday",50,46.9,0.29,0,2108
"Sunday",61,46,0,0,4020
"Monday",61,51.1,0,0,6357
"Tuesday",51.1,46,0,0,5760
"Wednesday",50,37.9,0,0,5649
"Thursday",54,41,1.41,0,2137
"Friday",46.9,44.1,0,0,4271
"Saturday",63,39,0,0,4027
"Sunday",75,57.9,0.56,0,3531
"Monday",54,44,0,0,5440
