Home,Away,Y
27,29,1
24,4,1
21,15,1
25,13,0
26,14,1
23,1,0
5,2,1
11,29,1
30,28,0
3,22,0
15,8,1
18,6,0
19,12,0
17,7,1
27,20,1
24,16,0
25,10,0
14,21,0
13,4,1
1,5,1
22,30,0
9,3,1
23,28,0
29,16,1
26,10,0
18,7,0
13,19,1
23,6,0
15,2,1
11,12,1
20,17,1
8,4,1
25,21,1
14,29,0
3,27,0
5,30,0
10,16,1
12,24,1
9,27,0
20,2,1
15,11,0
17,5,1
18,21,0
7,6,0
14,19,1
4,1,1
30,17,1
3,20,1
2,12,1
11,18,1
21,7,1
8,10,1
25,29,1
26,19,0
13,16,1
22,28,0
23,5,0
15,9,1
27,6,1
29,26,0
10,14,1
12,30,0
21,18,1
2,24,1
3,25,0
5,7,0
19,4,1
17,1,1
8,16,0
11,6,0
4,17,0
30,2,0
1,3,1
9,10,1
23,25,1
15,20,1
29,14,1
13,26,0
18,24,1
21,16,1
27,7,1
8,12,1
14,11,0
20,23,1
4,29,1
30,25,0
15,19,1
9,5,0
1,22,1
28,3,1
6,10,0
7,2,1
13,11,1
16,17,0
19,18,1
8,21,0
24,12,0
22,23,0
30,16,1
3,6,0
20,29,1
28,2,1
5,10,0
11,9,0
21,4,1
7,18,1
14,26,0
25,1,0
6,13,1
19,9,1
8,15,0
26,1,1
24,27,0
22,4,0
2,5,1
3,29,0
20,13,0
28,16,1
11,17,1
7,21,0
10,12,1
14,27,0
4,20,1
19,17,1
18,15,1
6,5,0
24,1,1
8,9,1
25,14,1
26,12,1
23,2,0
3,21,1
11,7,1
28,13,1
6,18,1
30,2,0
5,16,0
15,22,1
19,11,0
8,1,0
29,9,0
26,4,0
10,27,1
12,13,0
23,24,1
3,16,0
20,21,0
28,30,1
17,22,1
25,26,1
14,7,0
6,24,1
2,8,1
9,23,1
1,13,0
18,21,0
27,11,1
29,4,1
10,7,1
12,1,1
30,8,0
28,20,1
15,17,1
19,26,1
14,5,0
2,22,1
9,6,0
20,24,1
21,11,1
17,16,0
7,3,1
29,18,1
25,4,1
13,14,1
23,10,0
28,9,1
12,8,1
19,3,1
11,30,0
15,26,1
6,27,1
13,5,1
16,1,1
22,2,1
7,24,1
20,10,0
25,18,1
14,4,0
12,6,0
3,9,0
1,7,1
19,15,0
21,30,1
27,22,1
8,28,1
29,5,1
26,17,1
20,2,0
11,16,1
24,28,0
25,17,1
14,18,1
4,6,1
23,1,0
2,9,1
3,12,0
30,10,0
21,22,1
7,16,0
27,19,1
29,8,1
26,5,0
13,18,0
9,20,1
19,14,0
25,28,0
24,11,0
1,12,1
4,16,0
22,13,0
30,23,1
3,26,1
6,2,0
20,15,0
8,5,1
29,17,1
7,27,0
11,25,0
4,30,1
12,9,1
6,19,1
23,3,1
15,7,0
18,5,1
27,14,1
24,29,0
10,21,1
20,8,0
22,1,1
2,26,1
16,13,0
4,5,1
6,26,1
12,14,1
23,13,0
3,8,1
9,28,0
1,22,0
15,25,0
18,19,0
24,21,0
16,27,0
20,30,0
17,2,1
7,29,0
10,11,1
6,14,1
5,1,0
18,28,1
19,29,1
24,10,0
25,11,1
12,4,0
22,27,0
23,26,0
2,13,1
3,15,0
9,8,0
17,30,1
21,19,1
6,5,1
13,27,1
30,29,1
22,7,1
30,9,1
3,20,1
1,16,0
5,28,1
15,18,1
19,23,1
21,12,0
17,4,0
24,11,0
25,10,1
26,8,1
29,2,1
14,27,0
1,17,0
16,30,1
18,20,0
13,10,0
9,19,0
21,6,0
8,2,0
24,27,0
3,4,0
22,12,0
28,15,1
7,23,1
5,14,1
25,29,1
6,9,0
16,12,1
20,28,0
1,10,0
17,14,1
18,2,1
13,24,1
23,22,0
30,19,1
8,26,0
29,11,1
25,3,1
6,4,1
12,20,1
9,23,1
16,10,0
28,18,1
5,30,1
15,14,1
7,21,0
13,8,0
26,27,0
22,10,0
2,17,1
19,21,1
24,3,0
25,11,0
29,27,0
12,4,0
23,30,0
20,22,1
28,6,1
1,5,1
7,8,1
26,13,0
14,15,0
2,16,1
19,18,0
5,25,0
11,27,0
17,9,0
21,10,0
24,15,1
29,3,0
30,6,1
1,4,1
9,28,1
12,25,0
22,23,1
7,18,1
20,16,0
6,12,1
30,23,1
2,29,1
17,11,1
8,15,0
26,21,0
13,3,1
4,24,1
16,5,1
20,25,0
7,22,1
10,1,1
14,3,1
22,5,1
23,4,0
2,25,1
28,29,1
11,19,1
15,26,1
17,12,0
18,30,0
27,9,1
8,14,1
13,21,1
16,24,1
19,27,0
7,26,0
10,21,1
4,12,1
22,24,0
23,16,0
2,20,1
28,25,1
6,30,1
15,29,1
17,18,1
8,3,0
14,1,0
6,2,1
20,9,1
30,12,0
19,29,0
18,3,1
5,11,1
27,26,1
13,1,0
17,21,0
14,10,1
15,24,0
8,7,1
9,25,1
16,23,1
28,11,0
4,18,1
6,15,0
12,27,1
5,17,1
19,26,1
7,13,0
10,22,1
28,3,1
18,27,0
8,20,1
29,1,0
25,30,1
14,22,1
4,19,1
23,11,0
17,16,1
2,15,1
7,9,0
21,13,1
24,20,0
26,6,0
10,29,1
28,1,1
27,5,1
8,24,1
14,6,0
4,9,1
23,3,1
2,11,0
5,16,0
15,19,1
21,18,0
29,30,1
26,22,0
10,25,1
13,20,1
7,12,0
4,11,1
23,9,0
28,16,1
1,15,1
17,19,1
27,21,1
8,30,1
10,24,1
25,22,1
13,6,0
1,12,1
3,17,0
26,29,0
14,20,0
4,7,0
30,9,1
16,8,1
28,5,0
11,15,1
21,25,1
29,6,1
24,18,1
10,19,1
12,2,1
22,8,1
3,23,1
17,28,0
27,13,1
14,26,0
2,21,0
4,22,1
6,7,1
30,5,1
9,1,0
15,18,0
11,13,0
26,19,0
10,20,1
12,28,0
23,30,0
16,4,0
1,8,1
5,3,1
17,15,1
27,25,1
29,24,1
22,6,0
23,21,0
9,26,1
28,2,1
11,18,1
19,25,0
7,10,0
14,24,0
4,8,0
9,3,1
12,21,0
30,20,1
1,11,1
16,6,1
5,29,1
15,13,1
27,10,1
7,25,1
28,22,1
23,2,0
19,13,1
17,29,0
20,26,0
24,15,0
4,27,1
6,8,1
12,23,1
2,22,1
9,17,1
1,30,0
5,26,1
18,10,0
3,4,0
19,16,0
21,11,1
14,15,1
30,1,0
2,28,1
9,22,1
6,17,1
5,20,0
11,29,0
18,26,1
27,16,1
8,23,1
24,14,1
10,13,1
25,7,1
12,19,1
3,6,1
20,5,1
21,29,1
13,25,1
30,18,0
9,4,1
16,22,1
1,17,1
11,28,1
27,15,1
26,24,1
10,7,1
14,8,0
3,12,1
22,5,1
19,28,0
9,1,0
20,6,0
18,29,0
21,27,1
17,4,0
24,2,0
25,23,1
13,8,1
12,11,1
26,7,1
10,23,1
14,30,0
16,3,1
28,21,0
5,1,0
15,27,0
18,24,1
19,20,1
8,7,0
29,14,1
25,26,1
13,2,1
12,5,0
22,3,1
23,4,0
9,21,1
6,11,0
10,30,1
28,1,1
15,8,0
17,24,1
18,13,0
7,20,1
27,19,1
29,10,0
26,30,1
14,16,1
6,3,1
12,22,0
11,5,0
19,8,1
21,13,1
25,2,1
4,23,1
9,7,0
20,3,1
1,6,0
15,28,0
17,22,1
29,18,1
26,16,0
10,2,0
24,30,0
23,12,0
5,9,0
27,28,1
8,26,0
25,16,1
3,19,0
6,4,1
11,21,1
18,7,0
13,30,1
22,15,1
24,29,0
17,5,0
20,12,0
10,25,1
14,2,0
23,19,1
16,9,1
28,4,1
1,24,1
15,5,1
17,6,0
8,21,0
29,27,0
26,25,0
10,18,0
13,14,1
12,6,1
22,9,0
30,3,1
2,19,1
20,4,0
7,11,1
25,21,1
14,13,0
1,28,1
16,5,1
11,24,0
26,18,0
10,27,1
4,3,1
22,16,1
23,20,0
2,17,1
9,30,1
28,12,1
19,14,1
7,15,1
8,27,1
29,13,0
19,24,0
1,2,1
15,10,0
5,6,1
25,18,0
26,21,1
30,4,1
11,14,1
13,7,1
23,17,0
8,29,0
12,3,1
16,22,1
27,10,0
20,28,0
6,1,1
22,17,1
2,4,0
3,30,0
18,11,0
19,5,0
21,14,1
29,7,0
24,26,0
12,20,1
9,16,0
28,23,1
27,21,1
13,15,1
2,16,1
3,28,0
4,22,1
6,9,0
30,1,1
5,23,1
7,27,0
11,26,1
17,12,0
18,19,1
10,15,1
14,29,1
24,13,1
25,8,1
